,Tipo de accidente,Descripción del accidente
1204,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril izquierdo y central. 1 herido leve dado de alta en el punto.
1205,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando el carril derecho. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran del punto por sus medios.
1206,Salida de vía,Accidente entre 2 vehículos por alcance ocupando el carril izquierdo. 1 herido leve.
1207,Colisión de vehículos,Accidente entre 2 vehículos por alcance lateral ocupando parte de carril. Sin heridos ni daños al patrimonio.
1208,Salida de vía,"Accidente de 1 motorista por caída, cuando llega el vigilante dicho motorista se encuentra en el arcen derecho siendo atendido por el Samur y trasladado posteriormente a su mutua con pronostico reservado. La motocicleta es retirada por su grúa."
1209,Colisión de vehículos,Accidente entre 2 vehículos por alcance ocupando parte de carril. 1 herido sin pronosticar trasladado por el Samur al Hospital 12 de Octubre.
1210,Salida de vía,Vehículo averiado en el carril izquierdo que se golpea contra el bordillo causando daños en el. Sin heridos. Es retirado al exterior por la plataforma C-10 de Base Calderón.
1211,Colisión de vehículos,Colisión alcance de 2 vehiculos.
1212,Otros,accidente de moto en carril central
1214,Colisión de vehículos,Señalizo accidente en lao izquierdo dentro del corte de la obra.
1215,Salida de vía,salida de vía
1216,Colisión de vehículos,"Accidente entre 2 vehículos por alcance lateral. Sin heridos ni daños al patrimonio. Cuando llega el vigilante solo queda parado en el arcén 1 vehículo implicado a la espera de su grúa, el otro se retiró por sus medios."
1217,Salida de vía,Accidente de 1 vehículo por salida de vía colisionando este contra el bordillo del hastial derecho. Es retirado por la plataforma C-10 de Base Calderón.
1218,Colisión de vehículos,Accidente entre 2 turismos y 1 camión por alcance ocupando el carril derecho. 3 heridos leves dados de alta en el punto.
1219,Colisión de vehículos,Accidente entre 2 vehículos por alcance. Cuando llega el vigilante solo se encuentra en el punto uno de los vehículos implicados que es retirado junto con Policía Municipal al arcén del PK 32+200 a la espera de su grúa. Sin heridos ni daños al patrimonio.
1220,Otros,Accidente de 1 motorista por caída que resulta herido leve y dado de alta en el punto. Sin daños al patrimonio.
1221,Colisión de vehículos,"Accidente entre 2 vehículos por alcance al final del ramal 18RN con XC, ocupando la isleta central. Sin heridos ni daños al patrimonio. Ambos vehículos se retiran por sus medios."
1222,Colisión de vehículos,Colisión de vehículos en el carril derecho y central con heridos.4 heridos trasladados por Samur.
1223,Salida de vía,Vehículo que golpea hastial izquierdo generandodaños al patrimonio (2 mts bordillo)no genera daños personales.Sacamos vehículo con grúa plataforma al exterior.
1224,Colisión de vehículos,Señalizar accidente de 2 vehículos en carril izquierdo.Lo pasamos al arcén derecho.Herido atendido en el punto (leve).
1225,Colisión de vehículos,Aviso de accidente de 2 vehículos carril derecho.Lo pasamos a c/ Serrano Galvache.
1226,Colisión de vehículos,Accidente en carril izquierdo (chapa).Señalizo con policía.Heridos de alta en en el punto. 3 veh 1  -   1 veh 2
1227,Colisión de vehículos,Colisión de 2 vehículos por alcance.
1228,Colisión de vehículos,Colisión de 2 vehículos en carril derecho. Los vehículos una vez terminada incidencia reanudan la marcha
1229,Colisión de vehículos,Señalizar vehículos accidentados en 2 carriles derechos con grúa de EMESA nos trasladamos a anchurón del 32+200
1230,Salida de vía,"Vehículo con golpe en lado derecho delantero, con rueda reventada en arcén derecho, sin ocupantes señalizo hasta llegada de policía"
1231,Colisión de vehículos,Señalizar accidente por vehículo desconocido que pierde escalera y los demás vehículos colisionan por alcance en carril izquierdo. Herido leve y sin daños a patrimonio. El herido es dado de alta en el lugar
1232,Otros,"Caida de motorista, limpiamos y recogemos . El motorista es trasladado con pronostico reservado al Hospital Gómez Ulla. La moto es retirada por grúa movilidad."
1233,Colisión de vehículos,"Accidente por alcance 3 vehiculos sin heridos, en arcen derecho."
1234,Salida de vía,"Salida de via con heridos, trasoadados, 1 leve, 1 sin pronostico. Corto transfer."
1235,Colisión obstaculo,"Vehiculo colisiona con hito que se encuentra en mitad de calzada, se lo sacamos y sigue por su medios."
1236,Colisión de vehículos,"Señalizo accidente en arcen derecho, herido leve, dado de alta en el punto."
1237,Colisión de vehículos,"Sealizar accidente en carril derecho, sin daños a patrimonio y con herido leve, dado de alta en el lugar."
1238,Salida de vía,Caida de motoristas en ramal. A  mi llegada las motos se nah retirado por sus medios y SELUR hizo la limpieza
1239,Salida de vía,"Accidente vehiculo, choque frontal con muro. Herido leve, contusiones cuello y espalda, trasladado a Clinica Moncloa."
1240,Colisión de vehículos,"Accidente en carril derecho. Herido leve, dado de alta en el punto."
1241,Colisión de vehículos,Accidente con heridos en carril derecho. 2 heridos leves dados de alta en el lugar.
1242,Colisión de vehículos,"Aviso accidente carriles derechos, 3 vehiculos, se corta 2 carriles derechos. Herido atendido en el punto."
1243,Salida de vía,Vehículo se sale de la vía contra bañera hitos y poste publicitario
1244,Salida de vía,"Vehiculo accidentado dale por sus medios, cerramos salida de emergencia 18RA03 desde fuera, desde dentro no funciona, no llega a cerrar del todo."
1245,Colisión de vehículos,"Aviso señalizar accidente de 2 vehiculos carriles izquierdos, con herido atendido en el punto, se necesita 2 grúas. Se limpia restos de accidente."
1246,Colisión de vehículos,Accidente de 1 motorista que colisiona contra un turismo por detrás cuando este frena debido a los vehículos que circulan delante de él que también frenan. Dicho motorista resulta victima mortal.
1247,Colisión de vehículos,"Accidente entre 1 turismo y 1 motorista por alcance, 1 herido leve trasladado a su mutua por el Samur. Ambos vehículos son retirados por sus grúas."
1248,Colisión de vehículos,"Accidente entre 3 vehículos por alcance en el carril izquierdo, según un usuario fue debido a unos hierros sobre la calzada, se desconoce la procedencia de estos y su situación cuando se originó dicho accidente. 1 herido con pronostico reservado trasladado al Hospital Ramon y Cajal."
1249,Colisión de vehículos,Accidente entre un turismo y un motorista por alcance ocupando el arcén derecho. Sin heridos.
1250,Colisión de vehículos,"Cuando llegan el vigilante V-1 observa a los vehículos implicados fuera de zona junto con Policía Municipal, estos informan que el turismo impacto con una bicicleta que estaba en el carril izquierdo sin ocupantes."
1251,Salida de vía,"Vehículo se sale de la vía causando daños.Datos recogidos por un compañero de conservación.No foto vehículo,foto en parte de policía.Fotos daños."
1252,Salida de vía,Caída de moto en carriles derechos.Herido trasladado por Samur.
1253,Salida de vía,Accidente en margen derecho.
1254,Colisión de vehículos,Aviso accidente 2 vehículos en transfer.
1255,Salida de vía,Vehículo se sale de la víacausando daños en corte de obra y barreras.El vehículo se encuentra sin conductor.
1256,Colisión de vehículos,Aviso:Accidente sindaños ni heridos.
1257,Salida de vía,Accidente vehículo contra muro de hormigón lateral.Lo trasladan al Hospital 12 de Octubre con pronóstico bastante grave.El veh es retirado por la grúa de movilidad.ITE en el accidente.
1258,Salida de vía,Señalizar vehículo accidentado en trnsfer.
1259,Colisión de vehículos,Aviso: Accidente 4 vehículos carril izquierdo.3 heridos atendidos en el punto.
1260,Colisión de vehículos,Accidente en carril izquierdo señalizo con policía.
1261,Colisión de vehículos,Accidente en carril central señalizo.
1262,Colisión de vehículos,Accidente en carril central al saltarse uno de los coches un semáforo.Señalizo con policía.
1263,Colisión de vehículos,Aviso:Accidente 2 vehículos carril izquierdo.Herido lo trasladadan a La Paz.
1264,Salida de vía,"Accidente de 1 vehículo por salida de vía colisonando contra el bordillo del margen derecho. Sin heridos, dicho vehículo es retirado a la C/ Dante por la plataforma C-10."
1265,Salida de vía,"Accidente de 1 vehículo por salida de vía colisonando contra el bordillo del margen izquierdo. Sin heridos, dicho vehículo es retirado por el híbrido F-12."
1266,Colisión de vehículos,"Accidente entre 1 turismo y 1 motorista por alcance en isleta, este resulta herido y trasladado al hospital con pronostico reservado."
1267,Salida de vía,"Accidente de 1 turismo por salida de vía hacía el lado izquierdo y derecho, ocasionando daños en barreras. 1 herido leve trasladado al hospital."
1268,Salida de vía,"Accidente de 1 motorista por salida de vía golpeandose contra el muro del margen izquierdo, este resulta herido   y trasladado al hospital sin pronosticar."
1269,Salida de vía,"Vehículo parado en el carril derecho debido a una colisión con algo que el conductor no sabe que pudo ser, reventó 2 neumaticos. Es retirado del punto por la grúa externa de Calle30. "
1270,Salida de vía,Accidente de 1 vehículo por salida de vía colisonando contra el balizamiento de la isleta y las barreras del margen derecho del ramal 12RU. 
1271,Colisión de vehículos,Accidente entre 3 vehículos por alcance ocupando el carril derecho. 1 herido leve trasladado al hospital. Dos de los vehículos implicados se retiran por sus medios y el tercero en su grúa.
1272,Colisión de vehículos,"Colisión de 3 vehículos,sin daños ni personales ni materiales.Todos los vehículos se retiran por sus medios."
1273,Vuelco,Accidente de 1 vehículo por vuelco en el ramal 08RN. 1 herido sin pronosticar trasladado a hospital para la prueba de alcoholemía. Sin daños al patrimonio.
1274,Colisión de vehículos,Accidente entre 3 vehículos por alcance en el carril central.
1275,Colisión de vehículos,Accidente entre 3 vehículos por alcance en los carriles izquierdos. 1 herido leve dado de alta en el punto.
1276,Salida de vía,"Accidente de un motorista por caida debido a un vertido de combustible de un autobus de la EMT, este resulta herido y trasladado al hospital sin pronosticar. Se procede limpiando la calzada con apoyo de la baldeadora y barredora. Se corta el ramal 15RM por seguridad. La motocicleta es retirada al exterior por la plataforma C-10 para que la grúa de movilidad se haga cargo de ella junto con Policía Municipal."
1277,Colisión de vehículos,Accidente en carril izquierdo 14:30 retiramos los vehículos al carril derecho.veh retirado por la grúa del usuario.
1278,Salida de vía,Accidente motorista por derrame suelo deslizante(agua).Atiende Samur y da el alta en el punto con pronóstico leve. Retiramos la moto en la C-10.
1280,Salida de vía,"Veh que se sale de la vía golpeandose con el hastial produciendo daños personales y materiales.El ocupante del turismo se niega a ser atendido por Samur.Policía le saca al exterior por la salida de emergencia.El usuario una vez ene le exterior se marea y pierde sentido, y lo atendemos y volvemos activar al Samur.Es trasladado al Clinico.El veh es retirado por la grúa de movilidad.Limpiamos la calzada,solicitamos baldeadora y barredora."
1281,Salida de vía,"Accidente de un veh en el 15NL02, se golpea contra bordillioderecho.Causando daños en el mismo y en calzada.Lo retiramos con la C-10."
1282,Salida de vía,Señalizar acciente salida de vía con daños a patrimonio.Herido leve dado de alta en el lugar.Lo retira la grúa del seguro.
1283,Colisión de vehículos,Colisión con heriod. Trasladado sin pronóstico.Corto carril derecho.
1284,Colisión de vehículos,Accidente en arcén derecho.1 herido leve trasladado al 12 de Octubre
1285,Salida de vía,Señalizar accidente salida de víacon daños al patrimonio sin heridos.El vehículo nº2 se da a la fuga.
1286,Vuelco,Vuelco en carril izquierdo.Los ocupantes se dan a la fuga.
1287,Colisión de vehículos,Señalizar accidente lateral con moto implicada.El vehículo se da a la fuga.Motorista herido leve dado de alta en el punto. Se retira por sus medios.
1288,Salida de vía,"Salida de via de camión, sin heridos y con daños al patrimonio en lado derecho (farola completa), coerto 2 carriles derechos, hasta llegada de bomberos, actúa dejando farola tendida en el suelo y señalizada. Mantenimiento m30 dice que esa farola no es nuestra, aún estando dentro de ramal 08RA, instalaciones urbanas se hace cargo."
